"study","outcome.variable","outcome.name","outcome.min","outcome.max","condition.name","n_total","n","mean","sd"
"MunschS68","MunschS68.Q1_MUNSCH1","Morgan_Committed",1,7,"50 hours/male/60%",54,53,6.16981132075472,0.97538649256045
"Rifkin1073","Rifkin1073.Q2A1","Stressed",1,7,"High",595,590,4.39322033898305,1.94524926556684
"Rifkin1073","Rifkin1073.Q2A1","Stressed",1,7,"Low",605,596,3.56879194630872,1.96532099296283
"RyanS14","RyanS14.Q21","rumor true - laundered money",1,5,"Q2 is democrat",1013,1006,3.14811133200795,0.812178087185497
"RyanS14","RyanS14.Q21","rumor true - laundered money",1,5,"Q2 is republican",1043,1030,3.08446601941748,0.83162202690718
"Schnabel903","Schnabel903.Q11","Feminine",1,7,"Version 1",353,353,4.67705382436261,1.84728312170977
"Schnabel903","Schnabel903.Q11","Feminine",1,7,"Version 2",348,348,4.77011494252874,1.82963847029819
"Schnabel903","Schnabel903.Q11","Feminine",1,7,"Version 3",350,349,4.50429799426934,1.96026883053211
"Schnabel903","Schnabel903.Q11","Feminine",1,7,"Version 4",316,316,4.33544303797468,1.95053353545523
"Schnabel903","Schnabel903.Q11","Feminine",1,7,"Version 5",348,337,2.4213649851632,1.49619176509463
"Schnabel903","Schnabel903.Q11","Feminine",1,7,"Version 6",360,352,2.40625,1.55149615319868
"Schnabel903","Schnabel903.Q11","Feminine",1,7,"Version 7",359,346,2.28034682080925,1.4643654790312
"Schnabel903","Schnabel903.Q11","Feminine",1,7,"Version 8",355,345,2.55652173913043,1.62569111071633
"Schnabel903","Schnabel903.Q22","Masculine",1,7,"Version 1",353,348,2.29310344827586,1.48973765970493
"Schnabel903","Schnabel903.Q22","Masculine",1,7,"Version 2",348,339,2.25073746312684,1.46526580947244
"Schnabel903","Schnabel903.Q22","Masculine",1,7,"Version 3",350,339,2.13274336283186,1.42570085398963
"Schnabel903","Schnabel903.Q22","Masculine",1,7,"Version 4",316,310,2.26451612903226,1.57067552657173
"Schnabel903","Schnabel903.Q22","Masculine",1,7,"Version 5",348,345,4.4695652173913,1.75864181439678
"Schnabel903","Schnabel903.Q22","Masculine",1,7,"Version 6",360,359,4.55431754874652,1.87209052313559
"Schnabel903","Schnabel903.Q22","Masculine",1,7,"Version 7",359,358,4.44413407821229,1.80598342706555
"Schnabel903","Schnabel903.Q22","Masculine",1,7,"Version 8",355,355,4.19154929577465,1.84649205349942
"ShannonS2","ShannonS2.coalescedoutcome1","tax credit effective",1,5,"Control",418,407,3.71990171990172,1.11203536383325
"ShannonS2","ShannonS2.coalescedoutcome1","tax credit effective",1,5,"Illegal",437,422,3.32701421800948,1.25857820274862
"ShannonS2","ShannonS2.coalescedoutcome1","tax credit effective",1,5,"Illegal without savings",428,417,3.23741007194245,1.20045704725415
"ShannonS2","ShannonS2.coalescedoutcome1","tax credit effective",1,5,"Immigrant",403,395,3.56962025316456,1.12970442547105
"ShannonS2","ShannonS2.coalescedoutcome1","tax credit effective",1,5,"Immigrant without savings",436,424,3.56603773584906,1.12792927636149
"ShannonS2","ShannonS2.coalescedoutcome1","tax credit effective",1,5,"Treatment",421,415,3.77590361445783,1.04507013395766
